customer_id,age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
CUST123218,42,Female,Married,Professional,111330.91,Private,5.5,SME,Rented,23122.26,6,4,6987.9,1459.05,4391.92,13814.36,10465.8,Yes,7556.83,629,59613.86,3808.67,Personal Loan EMI,978827.91,19,Not_Eligible,23515.82
CUST120731,28,Female,Married,High School,67389.88,Private,3.6,SME,Own,0.0,2,1,3293.41,0.0,2080.71,2659.66,4751.19,Yes,10053.64,708,13276.58,3304.05,E-commerce Shopping EMI,75474.48,4,Eligible,20148.02
CUST139555,59,Male,Married,Graduate,75148.88,Private,15.7,MNC,Own,0.0,2,1,7832.76,12190.69,5371.37,7801.74,6354.56,Yes,18574.5,736,19217.71,1034.09,Education EMI,464983.22,33,Not_Eligible,7686.64
CUST247506,32,Male,Married,Graduate,29807.34,Private,6.1,Startup,Own,0.0,3,2,6927.56,0.0,1057.9,9294.07,1413.36,No,0.0,627,17946.26,4911.52,Education EMI,362374.6,37,Not_Eligible,5225.17
CUST414215,39,Female,Married,Graduate,41894.33,Self-employed,9.3,Not Applicable,Rented,6738.17,1,0,0.0,0.0,1479.04,3671.63,2023.31,No,0.0,699,5438.64,675.49,Vehicle EMI,1496017.17,41,Not_Eligible,14658.52
CUST290913,26,Male,Married,High School,62842.06,Private,3.4,SME,Family,859.22,6,4,4892.45,0.0,3887.81,11541.89,2353.65,Yes,11699.3,707,8382.89,1298.5,Education EMI,427026.0,23,High_Risk,13615.07
CUST396715,49,Female,Single,Post Graduate,35226.15,Private,17.7,MNC,Rented,9081.27,4,3,7372.83,6177.95,2137.92,9578.02,2763.03,No,0.0,568,53827.1,14869.48,Home Appliances EMI,241294.39,7,Eligible,500.0
CUST241482,34,Male,Single,Graduate,50372.39,Private,6.8,MNC,Own,0.0,5,3,7733.37,0.0,2258.68,13292.68,2334.61,Yes,7361.0,823,33169.59,6509.31,Education EMI,296993.18,32,High_Risk,9313.61
CUST149119,34,Male,Married,Post Graduate,28291.94,Private,5.1,Public Sector,Own,0.0,5,3,5323.92,0.0,2193.34,10234.11,1574.52,No,0.0,564,18041.17,2014.38,Vehicle EMI,594794.34,42,Not_Eligible,4040.43
CUST308005,32,Male,Single,Post Graduate,32227.17,Government,7.1,SME,Rented,8627.65,4,2,1077.12,0.0,2155.79,9777.7,2945.28,No,0.0,729,25552.16,2244.65,Personal Loan EMI,957083.7,33,Not_Eligible,4084.29
CUST457337,56,Male,Single,Graduate,25715.04,Self-employed,15.0,Not Applicable,Rented,6526.32,3,1,931.46,10232.17,2024.17,4134.59,1263.94,No,0.0,850,14115.76,3975.05,Personal Loan EMI,438740.1,37,Not_Eligible,500.0
CUST491118,27,Male,Single,High School,26693.97,Private,0.0,SME,Family,38.71,4,3,5824.92,0.0,1411.4,9252.29,2626.96,No,0.0,753,7346.95,2425.17,Home Appliances EMI,36739.94,22,Eligible,4027.91
CUST458922,56,Female,Married,Graduate,40085.97,Self-employed,23.2,Not Applicable,Family,17.44,4,3,1541.47,802.32,2319.37,7458.83,1217.73,Yes,5775.37,627,36883.17,8054.63,Personal Loan EMI,196342.44,29,Eligible,9338.91
CUST214136,35,Female,Married,Post Graduate,53271.57,Government,6.8,SME,Own,0.0,2,0,0.0,0.0,2272.6,4523.41,4347.06,Yes,5012.79,609,14907.87,5468.69,Home Appliances EMI,167785.57,9,Eligible,17691.77
CUST165706,33,Male,Single,Graduate,29580.4,Self-employed,5.1,Not Applicable,Rented,8825.23,1,0,0.0,0.0,1252.37,4425.16,1267.11,Yes,7692.32,632,58666.93,18738.61,Home Appliances EMI,248277.65,25,Not_Eligible,2705.47
CUST463838,33,Male,Single,Graduate,71544.22,Private,4.2,Startup,Own,0.0,3,2,4642.92,0.0,3918.88,6886.63,5874.93,Yes,6371.07,745,66836.5,15402.24,E-commerce Shopping EMI,14239.86,17,Eligible,22831.21
CUST128871,28,Male,Single,Graduate,42789.89,Self-employed,0.0,Not Applicable,Rented,6003.0,3,2,5519.17,0.0,2962.01,6805.13,3440.97,No,0.0,825,10038.06,3542.69,Vehicle EMI,1442414.57,22,Not_Eligible,9827.18
CUST324830,34,Male,Single,Graduate,76873.32,Private,2.8,Public Sector,Rented,20858.32,4,3,791.52,0.0,1580.1,7331.34,6218.79,No,0.0,737,31807.49,7690.43,Home Appliances EMI,27652.7,27,Eligible,21358.98
